,broadcasts_num,creation_year,followers,following,highlights_num,in_partnership,language,mature,name,teams,views,type
306,10,2011,360893,42,122,False,en,False,ohmwrecker,2,4180938,person
307,814,2010,360187,544,2386,True,en,False,vgbootcamp,7,64137892,channel
308,64,2017,359982,17,1,True,ko,True,mister903,0,9257288,person
309,326,2015,359259,32,123,True,th,False,bayriffer,0,7329113,person
310,55,2012,359047,259,201,True,en,True,miss_rage,3,20759709,person
311,28,2011,358306,23,129,True,de,True,pietsmiet,0,14647994,person
312,548,2013,357336,107,50,True,en,True,andymilonakis,1,12144524,person
313,22,2010,356547,187,41,True,en,True,witwix,6,16762910,person
314,3795,2014,355741,6,0,True,fr,False,ogaminglol,1,111254602,channel
315,69,2014,355672,80,5,True,en,True,cyanideplaysgames,1,6111857,person
316,59,2015,352341,251,69,True,en,True,pengu,1,6955370,person
317,31,2009,350980,4,521,True,en,False,esea,2,50304519,channel
318,422,2008,350328,29,108,True,en,False,ubisoft,1,10331431,channel
319,53,2012,348123,295,141,True,en,False,avagg,3,11363665,person
320,25,2012,347868,327,12,True,fr,False,wankilstudio,0,9618513,person
321,8,2013,354953,23,0,True,en,False,Lachlan,0,691624,person
322,66,2014,346823,231,267,True,en,False,quin69,2,38895529,person
323,39,2009,346502,4,115,True,en,False,therace,0,20352008,person
324,10,2016,345622,32,0,True,ko,False,lol_peanut,0,6606898,person
325,225,2012,344376,341,625,True,pt,False,bida,1,17973406,person
326,48,2013,342207,90,270,True,fr,False,mastersnakou,1,10899574,person
327,23,2012,341263,118,22,True,en,True,enragedcinema,0,2880270,person
328,50,2016,340682,22,5,True,en,True,wraxu,1,12315224,person
329,57,2014,339762,5,0,True,ru,False,ybicanoooobov,1,32125875,person
330,679,2013,337849,4,5345,True,en,False,blizzheroes,0,73991464,channel
331,53,2013,337307,205,9,True,en,False,theonemanny,0,5575351,person
332,107,2014,336504,126,0,True,tr,True,rammus53,0,5636398,person
333,24,2016,335814,6,22,True,ru,False,gtfobae,0,9475367,person
334,11,2011,335485,5,1,True,en,True,Freakazoid,1,6137953,person
335,2517,2010,335384,90,1144,True,en,False,itmejp,3,60977538,person
336,2522,2012,333058,372,2787,True,en,True,cobaltstreak,5,30108959,person
337,36,2013,332281,91,29,True,en,True,chad,0,7857420,person
338,415,2010,332060,293,307,True,en,False,pokelawls,1,12799326,person
339,23,2011,330762,25,39,True,en,False,pobelter,1,17450501,person
340,1,2012,330417,59,1,True,en,False,muselk,1,1412889,person
341,61,2011,329604,92,95,True,en,False,followgrubby,0,39342959,person
342,74,2011,327395,36,333,True,es,False,lvpes,1,76165962,channel
343,59,2014,326982,198,31,True,es,False,akimgames,0,3517889,person
344,3246,2015,326202,7,66,True,en,False,paladinsgame,0,15066606,person
345,71,2016,326085,192,339,True,en,False,kinggeorgetv,0,6977678,person
346,24,2013,324462,174,121,True,en,True,kneecoleslaw,0,25885188,person
347,66,2012,324232,169,90,True,ru,False,welovegames,2,51986197,person
348,106,2013,322250,12,146,True,fr,False,gamemixtreize,0,4137487,person
349,1331,2011,321960,222,183,True,en,True,diction,9,14459772,person
350,65,2013,320775,453,1082,True,es,False,duendepablo,2,9518675,person
351,55,2014,320456,496,5,True,en,False,Djarii,3,16319582,person
352,48,2010,320358,1516,187,True,en,True,ms_vixen,3,12108987,person
353,125,2017,319770,533,0,True,pt,True,gaules,0,16342231,person
354,49,2010,319198,19,7,True,en,True,sidearms4reason,2,1434791,person
355,40,2012,318362,12,515,True,en,False,quickybaby,0,31547717,person
356,69,2015,317467,71,3,True,ko,True,hanryang1125,0,40179430,person
357,47,2007,316741,70,94,True,en,False,karma,2,7408428,person
358,59,2012,313914,186,1,True,ko,False,saddummy,0,26705765,person
359,53,2011,313565,1073,660,True,en,True,trihex,6,16407506,person
360,68,2010,311143,244,35,True,en,False,thedeluxe4,1,1841849,person
361,104,2015,311223,207,0,True,fr,False,lebouseuh,0,2289743,person
362,67,2011,309372,62,0,True,en,False,matimi0,1,5146564,person
363,21,2017,309248,118,0,True,ko,False,bang,1,6388506,person
364,16,2014,308109,0,16,True,ru,False,snailkicktm,0,8108169,person
365,37,2013,307333,107,60,True,de,False,bibaboy,1,13659782,person
366,51,2009,305872,20,73,True,en,False,hutch,1,7977388,person
367,95,2013,305962,92,78,True,en,False,sparcmac,0,18970885,person
368,68,2012,305071,307,8,True,en,False,AGONY,2,1928182,person
369,244,2010,305023,21,588,True,en,True,destiny,1,85791172,channel
370,39,2013,304155,57,2,True,tr,False,thaldrinlol,1,10352675,person
371,741,2012,304037,19,1464,True,en,False,capcomfighters,6,71919280,channel
372,51,2010,303566,33,1738,True,en,False,northernlion,1,20293906,person
373,44,2013,303820,59,1,True,en,True,dafran,1,10056474,person
374,45,2011,302246,177,1,True,en,False,ster,1,12626316,person
375,45,2012,300983,5,46,True,fr,False,brucegrannec,0,12772441,person
376,8,2012,300644,66,206,True,en,False,phreakstream,1,12446595,person
377,43,2012,300619,367,2351,True,en,True,lobosjr,4,17941913,person
